1,Run,Foo Fighters
2,Amsterdam,Nothing But Thieves
3,California,Mallory Knox
4,Robbers,Youngblood Hawke
5,Everything Now,Arcade Fire
6,Signs Of Life,Arcade Fire
7,Wall Of Glass,Liam Gallagher
8,Revolution Radio,Green Day
9,Freeze Me,Death From Above 1979
10,Higher,Eliza and the Bear
11,The Fat Man,"Paul Heaton, Jacqui Abbott"
12,Dig Down,Muse
13,Ill Ray (The King),Kasabian
14,Listen To Your Heart,Starsailor
15,Holding On,The War On Drugs
16,I Only Lie When I Love You,Royal Blood
17,The Man,Killers
18,"Hook, Line & Sinker",Royal Blood
19,What Equals Love,Maximo Park
20,Was It Really Worth It?,The Sherlocks
21,All Things Pass,The Jesus and Mary Chain
22,Holidaze,Cold Fronts
23,Imagination,Ramon Miles
24,Behind Closed Doors,The Strypes
25,Take Me Back Home,Coasts
26,Don't Kill My Vibe,Sigrid
27,Pumping Up Clouds,Urban Cone
28,Somebody Else,Circa Waves
29,The Outfield,The Night Game
30,Don't Matter Now,George Ezra
